"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"197",1.1372500481292e-85,2.70365481491901,0.849,0.309,1.02682306845586e-81,"7","ZFP36",218.964959828445
"198",3.12616532236189e-88,2.52459484566093,0.734,0.189,2.82261466956055e-84,"7","NFKBIZ",210.928254343365
"199",1.00410565228173e-90,2.42956220919444,0.945,0.411,9.06606993445177e-87,"7","CD69",209.045803021655
"200",5.46037767626677e-72,3.03735755486614,0.653,0.187,4.93017500390127e-68,"7","HSPB1",204.435843081745
"201",0,8.59599196141777,0.931,0.011,2.2250738585072e-308,"8","CD79A",2644.57975417642
"202",0,7.29926335432735,0.672,0.011,2.2250738585072e-308,"8","BCL11A",2245.63775465329
"203",0,6.85711382443742,0.724,0.012,2.2250738585072e-308,"8","TNFRSF13C",2109.60927762425
"204",5.06543824600082e-228,6.87545302369445,0.931,0.041,4.57358419231414e-224,"8","MS4A1",1535.56191353331
"205",5.83954029486131e-252,5.88919890093855,0.621,0.013,5.27252093223028e-248,"8","AFF3",1456.26921797979
"206",2.70158738887481e-200,5.88892358770302,0.569,0.015,2.43926325341507e-196,"8","CD40",1151.94848645376
"207",1.02860892140966e-205,5.43088180246882,0.741,0.026,9.28730995140786e-202,"8","RALGPS2",1091.78162823795
"208",7.6248847515766e-177,5.38540248410926,0.707,0.028,6.88450844219851e-173,"8","MEF2C",927.162346755541
"209",6.70340905007669e-133,5.3765092890259,0.569,0.025,6.05250803131425e-129,"8","IRF8",689.365615480478
"210",3.46590580417691e-134,5.20073431877867,0.879,0.067,3.12936635059133e-130,"8","HLA.DQA1",673.518724294723
"211",1.37502127824324e-111,5.71303497768737,0.431,0.016,1.24150671212582e-107,"8","GAPT",610.758008278765
"212",1.13482799733322e-115,5.49577914295217,0.431,0.016,1.02463619879216e-111,"8","BASP1",609.973396159707
"213",5.36247269046888e-117,5.08751785319085,0.552,0.027,4.84177659222435e-113,"8","SWAP70",571.404543533304
"214",3.86739215805799e-106,5.09095405093563,0.81,0.072,3.49186837951056e-102,"8","CD79B",516.512630556222
"215",1.6181915361976e-118,4.3740896930228,0.534,0.024,1.46106513803282e-114,"8","AIM2",497.925945499279
"216",2.97425674174398e-96,5.42912643911391,1,0.143,2.68545641212064e-92,"8","HLA.DRA",497.150438847124
"217",6.61061712561545e-108,4.2033202527427,0.672,0.044,5.96872620271819e-104,"8","CXXC5",433.884027200954
"218",2.16799667056335e-83,4.9554709147719,0.448,0.025,1.95748419385165e-79,"8","SYK",390.036700004159
"219",2.7521885526566e-89,4.57564448976812,0.983,0.141,2.48495104419364e-85,"8","HLA.DQB1",387.120947747003
"220",1.13085701294213e-85,4.49637790127457,0.5,0.031,1.02105079698545e-81,"8","LY86",364.165929704701
"221",2.00336824202454e-77,4.94973927152908,0.466,0.029,1.80884118572396e-73,"8","CCDC50",360.056901765375
"222",4.92569465756014e-78,4.78715126449491,0.379,0.019,4.44740970631105e-74,"8","BTK",351.146606659918
"223",7.80990622243783e-87,4.25532300902603,0.707,0.064,7.05156432823912e-83,"8","HLA.DMB",349.582081061364
"224",5.71026314992596e-66,5.2213629494366,0.328,0.017,5.15579659806815e-62,"8","FGD2",320.005348093222
"225",4.67968775373612e-87,3.8457043285058,0.414,0.02,4.22529007284835e-83,"8","OSBPL10",316.786600102181
